from,to,count
PARCELLES ASSAINIES,ALMADIES,124
PARCELLES ASSAINIES,GRAND DAKAR,180
PARCELLES ASSAINIES,DAKAR PLATEAU,204
PARCELLES ASSAINIES,GUEDIAWAYE,141
PARCELLES ASSAINIES,PIKINE DAGOUDANE,41
PARCELLES ASSAINIES,THIAROYE,36
PARCELLES ASSAINIES,NIAYES,48
PARCELLES ASSAINIES,RUFISQUE,13
PARCELLES ASSAINIES,BAMBILOR,20
PARCELLES ASSAINIES,SINDIA,29
PARCELLES ASSAINIES,PAMBAL,12
PARCELLES ASSAINIES,THIES SUD,18
PARCELLES ASSAINIES,THIES NORD,10
PARCELLES ASSAINIES,NDAME,23
PARCELLES ASSAINIES,KOUMBAL,22
PARCELLES ASSAINIES,GAMADJI SARRE,10
PARCELLES ASSAINIES,RAO,13
PARCELLES ASSAINIES,TENGHORY,12
PARCELLES ASSAINIES,NIAGUIS,31
PARCELLES ASSAINIES,MOUDERY,13
ALMADIES,PARCELLES ASSAINIES,151
ALMADIES,GRAND DAKAR,131
ALMADIES,DAKAR PLATEAU,168
ALMADIES,GUEDIAWAYE,39
ALMADIES,PIKINE DAGOUDANE,34
ALMADIES,THIAROYE,36
ALMADIES,NIAYES,42
ALMADIES,BAMBILOR,21
ALMADIES,SINDIA,13
ALMADIES,RAO,10
GRAND DAKAR,PARCELLES ASSAINIES,224
GRAND DAKAR,ALMADIES,130
GRAND DAKAR,DAKAR PLATEAU,268
GRAND DAKAR,GUEDIAWAYE,68
GRAND DAKAR,PIKINE DAGOUDANE,90
GRAND DAKAR,THIAROYE,59
GRAND DAKAR,NIAYES,70
GRAND DAKAR,RUFISQUE,21
GRAND DAKAR,BAMBILOR,26
GRAND DAKAR,SINDIA,20
GRAND DAKAR,THIES SUD,14
GRAND DAKAR,THIES NORD,17
GRAND DAKAR,NDAME,17
GRAND DAKAR,KOUMBAL,16
GRAND DAKAR,NIAGUIS,12
DAKAR PLATEAU,PARCELLES ASSAINIES,245
DAKAR PLATEAU,ALMADIES,200
DAKAR PLATEAU,GRAND DAKAR,266
DAKAR PLATEAU,GUEDIAWAYE,116
DAKAR PLATEAU,PIKINE DAGOUDANE,89
DAKAR PLATEAU,THIAROYE,86
DAKAR PLATEAU,NIAYES,81
DAKAR PLATEAU,RUFISQUE,37
DAKAR PLATEAU,BAMBILOR,47
DAKAR PLATEAU,SINDIA,23
DAKAR PLATEAU,THIENABA,14
DAKAR PLATEAU,PAMBAL,12
DAKAR PLATEAU,THIES SUD,35
DAKAR PLATEAU,NDAME,20
DAKAR PLATEAU,KOUMBAL,17
DAKAR PLATEAU,RAO,10
DAKAR PLATEAU,MOUDERY,10
DAKAR PLATEAU,OGO,11
GUEDIAWAYE,PARCELLES ASSAINIES,101
GUEDIAWAYE,ALMADIES,28
GUEDIAWAYE,GRAND DAKAR,45
GUEDIAWAYE,DAKAR PLATEAU,105
GUEDIAWAYE,PIKINE DAGOUDANE,100
GUEDIAWAYE,THIAROYE,18
GUEDIAWAYE,NIAYES,49
GUEDIAWAYE,BAMBILOR,11
GUEDIAWAYE,NDAME,15
PIKINE DAGOUDANE,PARCELLES ASSAINIES,41
PIKINE DAGOUDANE,ALMADIES,37
PIKINE DAGOUDANE,GRAND DAKAR,78
PIKINE DAGOUDANE,DAKAR PLATEAU,85
PIKINE DAGOUDANE,GUEDIAWAYE,92
PIKINE DAGOUDANE,THIAROYE,84
PIKINE DAGOUDANE,NIAYES,60
PIKINE DAGOUDANE,RUFISQUE,11
PIKINE DAGOUDANE,KEUR MOUSSA,11
PIKINE DAGOUDANE,NDAME,15
THIAROYE,PARCELLES ASSAINIES,46
THIAROYE,ALMADIES,24
THIAROYE,GRAND DAKAR,67
THIAROYE,DAKAR PLATEAU,101
THIAROYE,GUEDIAWAYE,25
THIAROYE,PIKINE DAGOUDANE,114
THIAROYE,NIAYES,87
THIAROYE,RUFISQUE,35
THIAROYE,BAMBILOR,17
THIAROYE,SINDIA,15
THIAROYE,NDAME,17
THIAROYE,KOUMBAL,15
NIAYES,PARCELLES ASSAINIES,52
NIAYES,ALMADIES,35
NIAYES,GRAND DAKAR,50
NIAYES,DAKAR PLATEAU,104
NIAYES,GUEDIAWAYE,68
NIAYES,PIKINE DAGOUDANE,70
NIAYES,THIAROYE,57
NIAYES,RUFISQUE,12
NIAYES,BAMBILOR,41
NIAYES,NDAME,12
NIAYES,KOUMBAL,11
NIAYES,RAO,10
RUFISQUE,PARCELLES ASSAINIES,13
RUFISQUE,ALMADIES,10
RUFISQUE,GRAND DAKAR,22
RUFISQUE,DAKAR PLATEAU,33
RUFISQUE,THIAROYE,33
RUFISQUE,NIAYES,13
RUFISQUE,BAMBILOR,25
RUFISQUE,KEUR MOUSSA,12
RUFISQUE,SINDIA,10
BAMBILOR,PARCELLES ASSAINIES,26
BAMBILOR,GRAND DAKAR,23
BAMBILOR,DAKAR PLATEAU,34
BAMBILOR,GUEDIAWAYE,13
BAMBILOR,PIKINE DAGOUDANE,11
BAMBILOR,THIAROYE,22
BAMBILOR,NIAYES,24
BAMBILOR,RUFISQUE,22
BAMBILOR,SINDIA,12
BAMBILOR,SESSENE,13
KEUR MOUSSA,BAMBILOR,10
SINDIA,PARCELLES ASSAINIES,29
SINDIA,ALMADIES,12
SINDIA,GRAND DAKAR,22
SINDIA,DAKAR PLATEAU,42
SINDIA,GUEDIAWAYE,10
SINDIA,PIKINE DAGOUDANE,17
SINDIA,THIAROYE,16
SINDIA,NIAYES,11
SINDIA,RUFISQUE,11
SINDIA,BAMBILOR,10
SINDIA,SESSENE,19
THIENABA,PARCELLES ASSAINIES,10
THIENABA,DAKAR PLATEAU,15
THIENABA,THIES SUD,14
PAMBAL,PARCELLES ASSAINIES,12
PAMBAL,ALMADIES,10
PAMBAL,GRAND DAKAR,10
PAMBAL,DAKAR PLATEAU,18
PAMBAL,GUEDIAWAYE,12
PAMBAL,PIKINE DAGOUDANE,10
PAMBAL,NIAYES,13
PAMBAL,MEOUANE,14
PAMBAL,THIES SUD,18
PAMBAL,NDAME,11
PAMBAL,BANDAFASSI,13
MEOUANE,THIAROYE,21
MEOUANE,PAMBAL,12
THIES SUD,PARCELLES ASSAINIES,18
THIES SUD,GRAND DAKAR,11
THIES SUD,DAKAR PLATEAU,28
THIES SUD,GUEDIAWAYE,10
THIES SUD,THIAROYE,11
THIES SUD,SINDIA,16
THIES SUD,THIENABA,20
THIES SUD,PAMBAL,10
THIES SUD,THIES NORD,61
THIES NORD,DAKAR PLATEAU,21
THIES NORD,THIES SUD,67
SESSENE,SINDIA,23
NDAME,PARCELLES ASSAINIES,30
NDAME,ALMADIES,12
NDAME,GRAND DAKAR,15
NDAME,DAKAR PLATEAU,27
NDAME,GUEDIAWAYE,14
NDAME,PIKINE DAGOUDANE,19
NDAME,THIAROYE,14
NDAME,NIAYES,16
NDAME,SINDIA,13
NDAME,PAMBAL,14
NDAME,NDOULO,14
NDAME,DAROU MOUSTY,12
NDAME,KOUMBAL,16
NDOULO,PARCELLES ASSAINIES,10
NDOULO,GRAND DAKAR,11
NDOULO,DAKAR PLATEAU,10
NDOULO,PAMBAL,29
NDOULO,NDAME,14
TOUBACOUTA,PARCELLES ASSAINIES,10
MBEDIENE,PARCELLES ASSAINIES,11
MBEDIENE,GRAND DAKAR,13
MBEDIENE,DAKAR PLATEAU,12
MBEDIENE,SAGATTA DJOLOF,12
COKI,MBEDIENE,10
DAROU MOUSTY,NDAME,16
SAGATTA DJOLOF,SALDE,30
YANG YANG,SAGATTA DJOLOF,15
NGOTHIE,KOUMBAL,11
KOUMBAL,PARCELLES ASSAINIES,41
KOUMBAL,ALMADIES,15
KOUMBAL,GRAND DAKAR,26
KOUMBAL,DAKAR PLATEAU,31
KOUMBAL,GUEDIAWAYE,16
KOUMBAL,THIAROYE,13
KOUMBAL,NIAYES,12
KOUMBAL,PAOS KOTO,16
KOUMBAL,WACK NGOUNA,11
PAOS KOTO,KOUMBAL,11
MBANE,NDIAYE MBERESS,20
NDIAYE MBERESS,PARCELLES ASSAINIES,10
NDIAYE MBERESS,PAMBAL,14
NDIAYE MBERESS,MBANE,17
NDIAYE MBERESS,RAO,18
RAO,PARCELLES ASSAINIES,15
RAO,ALMADIES,11
RAO,GRAND DAKAR,24
RAO,DAKAR PLATEAU,20
RAO,GUEDIAWAYE,11
RAO,THIAROYE,10
RAO,NIAYES,12
RAO,THIES SUD,10
RAO,NDIAYE MBERESS,23
MAMPATIM,SARE BIDJI,10
DJIREDJI,DJIBANAR,10
LOUDIA OUOLOF,NIAGUIS,10
TENGHORY,PARCELLES ASSAINIES,12
TENGHORY,NIAGUIS,14
TENDOUCK,NIAGUIS,10
NIAGUIS,PARCELLES ASSAINIES,15
NIAGUIS,GRAND DAKAR,12
NIAGUIS,THIAROYE,15
NIAGUIS,NIAYES,12
NIAGUIS,TENGHORY,12
BANDAFASSI,SABODALA,18
KOUSSANAR,PARCELLES ASSAINIES,11
KOUSSANAR,GRAND DAKAR,10
KOUSSANAR,MISSIRAH,11
MISSIRAH,KOUSSANAR,11
MOUDERY,PARCELLES ASSAINIES,12
MOUDERY,DAKAR PLATEAU,12
OGO,PARCELLES ASSAINIES,15
OGO,PIKINE DAGOUDANE,10
OGO,AGNAM CIVOL,12
OGO,ORKADIERE,18
AGNAM CIVOL,OGO,19
ORKADIERE,GRAND DAKAR,14
ORKADIERE,GUEDIAWAYE,10
ORKADIERE,PIKINE DAGOUDANE,15
ORKADIERE,MOUDERY,11
ORKADIERE,OGO,13
ORKADIERE,OURO SIDY,10
OURO SIDY,OGO,12
OURO SIDY,ORKADIERE,11
